Ada,OK,34.774531,-96.6783449
Akron,OH,41.0814447,-81.5190053
Albany,GA,31.5785074,-84.155741
Alexandria,LA,31.3112936,-92.4451371
Alpena,MI,45.0616794,-83.4327528
Altoona,PA,40.5186809,-78.3947359
Amarillo,TX,35.2219971,-101.8312969
Ames,IA,42.02335,-93.625622
Anchorage,AK,61.2180556,-149.9002778
Anderson,SC,34.5034394,-82.6501332
Appleton,WI,44.2619309,-88.4153847
Atlanta,GA,33.7489954,-84.3879824
Auburn,ME,44.0978509,-70.2311655
Augusta,GA,33.47,-81.975
Austin,MN,43.6666296,-92.9746367
Austin,TX,30.267153,-97.7430608
Bakersfield,CA,35.3732921,-119.0187125
Baltimore,MD,39.2903848,-76.6121893
Bangor,ME,44.8011821,-68.7778138
Baton Rouge,LA,30.4507462,-91.154551
Battle Creek,MI,42.3211522,-85.1797142
Bay City,MI,43.5944677,-83.8888647
Bend,OR,44.0581728,-121.3153096
Billings,MT,45.7832856,-108.5006904
Binghamton,NY,42.0986867,-75.9179738
Birmingham,AL,33.5206608,-86.80249
Bloomington,IL,40.4842027,-88.9936873
Boise,ID,43.613739,-116.237651
Bowling Green,KY,36.9903199,-86.4436018
Bozeman,MT,45.68346,-111.050499
Bryan,TX,30.6743643,-96.3699632
Buffalo,NY,42.8864468,-78.8783689
Cadillac,MI,44.2519526,-85.4011619
Canton,OH,40.7989473,-81.378447
Champaign,IL,39.8403147,-88.9548001
Charleston,SC,32.7765656,-79.9309216
Charlotte,NC,35.2270869,-80.8431267
Charlottesville,VA,38.0293059,-78.4766781
Chattanooga,TN,35.0456297,-85.3096801
Chicago,IL,41.850033,-87.6500523
Cincinnati,OH,39.1361111,-84.5030556
Cities,TN-VA,36.472723,-82.4106862
Columbia,SC,34.0007104,-81.0348144
Columbus,GA,32.4609764,-84.9877094
Columbus,OH,39.9611755,-82.9987942
Corpus Christi,TX,27.8005828,-97.396381
Dayton,OH,39.7589478,-84.1916069
Decatur,AL,34.6059253,-86.9833417
Decatur,IL,39.8403147,-88.9548001
Denver,CO,39.7391536,-104.9847034
Detroit,MI,42.331427,-83.0457538
Dickinson,ND,46.8791756,-102.7896242
Dothan,AL,31.2232313,-85.3904888
Durham,NC,35.9940329,-78.898619
Eau Claire,WI,44.811349,-91.4984941
El Centro,CA,32.792,-115.5630514
El Dorado,AR,33.210973,-92.665901
El Paso,TX,31.7587198,-106.4869314
Elkhart,IN,41.6819935,-85.9766671
Elmira,NY,42.0897965,-76.8077338
Erie,PA,42.1292241,-80.085059
Eugene,OR,44.0520691,-123.0867536
Eureka,CA,40.8020712,-124.1636729
Evansville,IN,37.9747644,-87.5558482
Fairbanks,AK,64.8377778,-147.7163889
Fayetteville,NC,35.0526641,-78.8783585
Florence,AL,34.79981,-87.677251
Ft. Lauderdale,FL,26.1223084,-80.1433786
Ft. Pierce,FL,27.4467056,-80.3256056
Ft. Walton Beach,FL,30.4057552,-86.618842
Ft. Wayne,IN,41.1306041,-85.1288597
Ft. Worth,TX,32.725409,-97.3208496
Gainesville,FL,29.6516344,-82.3248262
Glendive,MT,47.108491,-104.710419
Great Falls,MT,47.5002354,-111.3008083
Greenville,MS,33.4101161,-91.0617735
Gulfport,MS,30.3674198,-89.0928155
Hagerstown,MD,39.6417629,-77.7199932
Harrisonburg,VA,38.4495688,-78.8689155
Hartford,CT,41.7637111,-72.6850932
Helena,MT,46.595805,-112.027031
Holyoke,MA,42.2042586,-72.6162009
Honolulu,HI,21.3069444,-157.8583333
Houston,TX,29.7628844,-95.3830615
Huntington,WV,38.4192496,-82.445154
Hutchinson,KS,38.0608445,-97.9297743
Indianapolis,IN,39.7683765,-86.1580423
Iowa City,IA,41.677204,-91.5162792
Jackson,TN,35.6145169,-88.8139469
Jackson,MS,32.2987573,-90.1848103
Jacksonville,FL,30.3321838,-81.655651
Jefferson City,MO,38.5767017,-92.1735164
Jonesboro,AR,35.8422967,-90.704279
Juneau,AK,58.3019444,-134.4197222
Kansas City,MO,39.0997265,-94.5785667
Kearney,NE,40.699959,-99.083107
Kennewick,WA,46.2112458,-119.1372338
Keokuk,IA,40.402525,-91.394372
Kirksville,MO,40.1947539,-92.5832496
Klamath Falls,OR,42.224867,-121.7816704
Knoxville,TN,35.9606384,-83.9207392
Lafayette,IN,40.4167022,-86.8752869
Lafayette,LA,30.2240897,-92.0198427
Lake Charles,LA,30.2265949,-93.2173758
Lansing,MI,42.732535,-84.5555347
